steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
37495	5	2250.7440116405487	-6767.87	-7500.0	1858.9259180472682	-218.0	-7500.0	-25.326655301630183	2.096244932014775	36495
64876	9	3670.637623310089	-6736.63	-7500.0	1925.009666275088	-263.0	-7500.0	-62.23788664497469	1.8387519680456594	63876
94870	13	5804.982728481293	-6710.49	-7500.0	1953.910947253733	-400.0	-7500.0	-78.28970722842689	1.227345320448531	93870
124864	17	8171.194447040558	-6678.47	-7500.0	1985.64954365115	-372.0	-7500.0	-78.09019958256457	2.2922715808240985	123864
150261	22	10090.589745759964	-6734.88	-7500.0	1913.5810011809817	-318.0	-7500.0	-90.21068599305077	1.2736562860551779	149261
180255	26	12234.12834739685	-6539.05	-7500.0	2113.406166295862	-221.0	-7500.0	-90.49052276728715	2.186475311712183	179255
210253	30	14353.932826757431	-6790.58	-7500.0	1791.5853212259592	-294.0	-7500.0	-84.60125908191331	2.003112367301619	209253
240252	34	16434.92968392372	-6543.46	-7500.0	2102.2671091904185	-245.0	-7500.0	-93.14884543488704	1.9931666868287214	239252
270246	38	18223.10350036621	-6572.49	-7500.0	2068.4651924613677	-240.0	-7500.0	-92.70503466373421	1.8871096840611699	269246
305288	43	20705.807747125626	-6822.34	-7500.0	1794.8395343148072	-306.0	-7500.0	-91.88308232021707	2.7777599472897325	304288
336378	48	22993.998093128204	-6851.25	-7500.0	1742.117870364237	-298.0	-7500.0	-94.29098042077437	2.3282958604678026	335378
360833	52	25294.268651008606	-6648.61	-7500.0	2002.9574996373576	-388.0	-7500.0	-97.16361820932967	1.542056393782301	359833
396071	57	27604.087233781815	-6608.93	-7500.0	2033.7814024693762	-331.0	-7500.0	-88.81361847994162	1.1748441859400824	395071
423818	61	30301.551212072372	-6818.24	-7500.0	1792.9967923489817	-422.0	-7500.0	-95.98288176708265	1.3923903546010516	422818
453812	65	32174.770933628082	-6842.65	-7500.0	1749.5520256351454	-349.0	-7500.0	-94.83578962693393	0.7215203505181399	452812
487232	71	34140.45720052719	-6536.78	-7500.0	2121.487555009599	-215.0	-7500.0	-96.10667890574177	0.5273488305735831	486232
512126	75	36757.81903386116	-6788.16	-7500.0	1880.9125322405064	-294.0	-7500.0	-98.02377166015381	0.3229368449031717	511126
541507	80	39237.61871623993	-6685.14	-7500.0	1952.6692790985762	-332.0	-7500.0	-99.56509849917563	0.6209689082658426	540507
575900	85	41768.827401161194	-6527.71	-7500.0	2127.3647533599838	-222.0	-7500.0	-98.7433814068051	0.6232380738283763	574900
605898	89	44217.181843042374	-6575.12	-7500.0	2067.4680620204867	-236.0	-7500.0	-99.07357724521358	0.7836482481557526	604898
635893	93	46167.37585949898	-6534.0	-7500.0	2116.429344844087	-222.0	-7500.0	-100.93161706122598	0.622742702686066	634893
661267	97	48297.73670911789	-6788.02	-7500.0	1813.084062523792	-317.0	-7500.0	-99.96909874834856	0.4258402375230575	660267
691264	101	50782.836081027985	-6532.24	-7500.0	2121.7939766131676	-226.0	-7500.0	-99.22247491549209	0.47026102969363776	690264
721260	105	53120.22241234779	-6613.32	-7500.0	2035.642706837079	-329.0	-7500.0	-98.87631990186658	0.25752065733625956	720260
755661	110	55922.95004916191	-6786.74	-7500.0	1898.4049158824007	-323.0	-7500.0	-98.35376409968886	0.7655114011274371	754661
785658	114	58603.62025260925	-6782.0	-7500.0	1898.2762196426015	-325.0	-7500.0	-99.17161645053389	0.3021218218444031	784658
815985	119	61001.458792209625	-6582.62	-7500.0	2066.2260858821323	-228.0	-7500.0	-98.68491857715907	0.833452028235844	814985
840473	123	63156.002578020096	-6529.74	-7500.0	2123.883605116064	-221.0	-7500.0	-97.77155845344447	0.4628222337653744	839473
870470	127	65673.79678988457	-6532.13	-7500.0	2120.784287246184	-221.0	-7500.0	-98.99818167007614	0.3790182113011614	869470
900465	131	68196.24184060097	-6764.91	-7500.0	1935.5415450530281	-323.0	-7500.0	-98.99187901213614	1.0293259099444374	899465
930462	135	70454.19453144073	-6591.38	-7500.0	2057.7605252783765	-228.0	-7500.0	-98.75458805278168	0.275216911376236	929462
960458	139	73062.64140582085	-6770.42	-7500.0	1877.5282977060208	-323.0	-7500.0	-98.77893361871992	0.1760463519456768	959458
997162	144	75772.74529528618	-6646.96	-7500.0	1984.0986092715077	-359.0	-7500.0	-98.84309325761157	0.26056025699246876	996162
