steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
36642	7	2379.24325633049	-5400.08	-7500.0	2983.6640604898175	-107.0	-7500.0	-49.91153866662911	0.12283315249329857	35642
62191	13	4564.07012629509	-5278.05	-7500.0	2975.2514378934206	-143.0	-7500.0	-69.06127663392598	0.1212976217276004	61191
90554	20	7605.896009683609	-6646.5	-7500.0	1728.5236153691649	-642.0	-7500.0	-84.5318661127457	0.10835950088364066	89554
120779	25	10098.764930009842	-5824.6	-7500.0	2696.5033812047195	-83.0	-7500.0	-91.49178363039532	0.17360747711464297	119779
154136	30	13133.144220590591	-7054.45	-7500.0	1706.1987721247488	-75.0	-7500.0	-95.26549367802929	0.1138013235285409	153136
184135	34	16154.54942369461	-7011.7	-7500.0	1748.428468971811	-74.0	-7500.0	-96.64362789361914	0.11318804139745955	183135
214129	38	18649.371437311172	-5962.19	-7500.0	2674.985953687279	-86.0	-7500.0	-97.83579651645611	0.08837268576532643	213129
244125	42	21144.94221663475	-5979.38	-7500.0	2643.3430653647893	-73.0	-7500.0	-97.1753589943662	0.05843946398490392	243125
274122	46	24228.947175502777	-7128.28	-7500.0	1556.0597355519678	-139.0	-7500.0	-98.36920514160792	0.055744864631024967	273122
305532	51	27227.633447408676	-7055.19	-7500.0	1706.58595746069	-75.0	-7500.0	-100.9999961177736	0.09524467072415911	304532
335528	55	30574.77598619461	-7491.18	-7500.0	62.2856534545687	-7021.0	-7500.0	-99.5777048651625	0.057921580681006654	334528
360751	66	33516.048600673676	-7058.21	-7500.0	1701.5452471744081	-82.0	-7500.0	-99.31618441721974	0.02646077226689531	359751
396960	76	35999.74737930298	-5981.5	-7500.0	2640.5520791736494	-77.0	-7500.0	-98.9253588480031	0.0265282695669727	395960
421553	81	38396.033217430115	-5965.46	-7500.0	2671.6833811836555	-87.0	-7500.0	-99.40500749096842	0.007763283647065736	420553
453720	87	41373.31462740898	-7128.65	-7500.0	1554.8055019808423	-152.0	-7500.0	-100.2906967444454	0.02077698233027728	452720
485087	96	43849.91715025902	-5979.63	-7500.0	2643.3003958932277	-74.0	-7500.0	-100.67946795989447	0.0016963998115455668	484087
511930	101	45935.53136181831	-4515.01	-5431.0	3021.4622571887544	-185.0	-7500.0	-100.29847435299526	0.008926958682059267	510930
543116	107	48400.19453549385	-5962.22	-7500.0	2674.824017925046	-86.0	-7500.0	-100.10361416489793	0.024503423994061926	542116
575193	114	51405.71636104584	-6941.1	-7500.0	1713.6554908773646	-113.0	-7500.0	-100.05795323882666	0.0014769209840802332	574193
602168	121	54289.75748729706	-7142.11	-7500.0	1540.5092421506322	-195.0	-7500.0	-100.16606656879476	0.0004776795450782293	601168
632511	126	57675.34068417549	-7491.17	-7500.0	62.34962596989543	-7021.0	-7500.0	-100.24429632472005	0.04059033813830476	631511
661016	130	60175.00611639023	-5980.55	-7500.0	2642.047003974782	-85.0	-7500.0	-99.95556691933606	0.028983455470797614	660016
691013	134	62686.88637161255	-5972.52	-7500.0	2667.128942810182	-75.0	-7500.0	-99.80902233054697	0.014094253683757331	690013
721010	138	65696.79306221008	-7011.4	-7500.0	1749.3455226386118	-70.0	-7500.0	-100.1594433993119	0.002843557584905633	720010
751006	142	69060.16241502762	-7491.15	-7500.0	62.47785466253082	-7021.0	-7500.0	-100.0974004005337	0.021826123487616006	750006
781003	146	72435.6653983593	-7491.2	-7500.0	62.133287813743244	-7023.0	-7500.0	-100.02246346170449	0.02551121270521306	780003
812570	151	75324.59827876091	-7021.32	-7500.0	1756.0602016785165	-204.0	-7500.0	-99.51208812216593	0.0011071016714267355	811570
842566	155	78278.8210363388	-6793.94	-7500.0	2048.5693348275913	-117.0	-7500.0	-99.56809388510078	0.05003503473786275	841566
870343	168	80715.82736134529	-5963.19	-7500.0	2673.944967797221	-87.0	-7500.0	-99.1532474850109	0.005069049975076676	869343
904954	176	83852.21080064774	-6850.29	-7500.0	1687.679635302311	-693.0	-7500.0	-99.3199996767831	0.02819330875375342	903954
932252	182	85850.63822054863	-4275.8	-4745.5	3166.0851491577373	-109.0	-7500.0	-99.87096516132132	0.0008538229065953944	931252
961721	187	88946.02212190628	-7160.2	-7500.0	1491.2272554083524	-219.0	-7500.0	-99.73052845318074	0.025550648291041846	960721
992816	193	91871.2647099495	-7053.97	-7500.0	1707.956102947602	-71.0	-7500.0	-99.82895736108834	0.0012497535938991034	991816
