steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
37495	5	2443.1206057071686	-6840.88	-7500.0	1745.5000631059943	-468.0	-7500.0	-41.583202032634574	1.886640906563478	36495
64832	9	5155.692058324814	-6790.15	-7500.0	1806.5009617344451	-520.0	-7500.0	-61.80520528736015	1.4650577324686405	63832
94826	13	7937.052215337753	-6672.9	-7500.0	1959.0887569417976	-377.0	-7500.0	-77.77091782870353	2.031416742196411	93826
124820	17	9920.820939779282	-6918.52	-7500.0	1626.0962392779645	-430.0	-7500.0	-85.92917479018409	3.1602764338531006	123820
150476	22	11922.434265136719	-6911.26	-7500.0	1662.3937081233437	-362.0	-7500.0	-88.73734656685089	1.0619734861580075	149476
180470	26	14814.627208709717	-6572.95	-7500.0	2085.532169931258	-252.0	-7500.0	-92.39848207277112	2.042641019754326	179470
210468	30	17559.818530082703	-6529.91	-7500.0	2126.705713971349	-214.0	-7500.0	-75.385003093168	1.7135405339823244	209468
240467	34	20480.669166088104	-6648.99	-7500.0	1977.1575990841402	-467.0	-7500.0	-92.94122331204723	1.7602447793428335	239467
270461	38	23041.81484723091	-6684.92	-7500.0	2011.4256046974053	-257.0	-7500.0	-92.92431196475074	1.4484605803304633	269461
300457	42	26085.63166451454	-6664.94	-7500.0	1996.527049401009	-382.0	-7500.0	-94.9605449501233	1.8121245520200067	299457
331781	47	28653.026193857193	-6588.1	-7500.0	2051.917302466553	-372.0	-7500.0	-95.08199415958478	0.8652770322117505	330781
363620	52	31563.698011159897	-6703.59	-7500.0	1929.7380682414394	-361.0	-7500.0	-94.34260450469377	0.914355034823604	362620
391110	56	34173.397408008575	-6532.35	-7500.0	2121.5639046503293	-216.0	-7500.0	-92.75300006113791	0.5906038511199376	390110
421103	60	37218.32456064224	-6652.6	-7500.0	1985.379458934638	-430.0	-7500.0	-92.39354291386634	1.217683525732151	420103
453865	65	40048.93391227722	-6666.89	-7500.0	1993.3899044116033	-408.0	-7500.0	-93.71087914047843	6.4242255820616165	452865
480180	70	42240.60097813606	-6724.93	-7500.0	1884.3606383207343	-333.0	-7500.0	-95.77072683297763	2.634173176005761	479180
510174	74	44868.64083766937	-6543.25	-7500.0	2111.3786552292263	-234.0	-7500.0	-95.9811590898847	0.4683954515669699	509174
540502	80	47732.140535116196	-6655.31	-7500.0	2020.3588124915143	-405.0	-7500.0	-97.77787640921892	1.1397848179735222	539502
574751	85	49590.7214922905	-6952.98	-7500.0	1608.5089273277067	-353.0	-7500.0	-98.05386492187269	0.686063588527643	573751
604749	89	52205.41978907585	-6709.85	-7500.0	1915.82792385913	-293.0	-7500.0	-98.05383363599276	3.281916590148475	603749
634744	93	54766.548743486404	-6593.33	-7500.0	2066.8515511386986	-235.0	-7500.0	-97.37469293985436	1.284185860545083	633744
666945	98	57640.24175643921	-6659.28	-7500.0	1978.1010845267895	-400.0	-7500.0	-97.4490340694841	2.151576936211126	665945
696942	102	60610.95798277855	-6654.15	-7500.0	1984.7267698628193	-406.0	-7500.0	-96.37932444741406	1.3545378053223596	695942
726938	106	63456.119940042496	-6659.46	-7500.0	1979.1668455247127	-454.0	-7500.0	-95.80491732881728	1.0712669080195356	725938
753509	110	66181.70530223846	-6684.74	-7500.0	1957.734449342253	-395.0	-7500.0	-97.06800959862115	0.8922492647961705	752509
783506	114	68598.14883971214	-6686.65	-7500.0	1951.7914194271618	-258.0	-7500.0	-97.44365287625246	1.050321319423967	782506
813994	119	71536.42325305939	-6723.51	-7500.0	1910.2097377835848	-405.0	-7500.0	-95.32284017672673	0.9676384340914862	812994
846055	124	74422.37342572212	-6660.1	-7500.0	1977.4348014383165	-399.0	-7500.0	-97.55850305647701	1.0436583160810726	845055
876051	128	77473.01162672043	-6691.21	-7500.0	1965.6591116806935	-377.0	-7500.0	-97.44185697680845	0.5174569480076315	875051
906047	132	79859.06195688248	-6895.95	-7500.0	1651.1139146318492	-489.0	-7500.0	-98.22013948403728	0.6369283462796638	905047
936045	136	83050.2967209816	-6753.85	-7500.0	1897.2529070828548	-293.0	-7500.0	-98.56767932603331	0.1625627453557549	935045
966039	140	85932.10694026947	-6530.96	-7500.0	2122.9443957566923	-222.0	-7500.0	-98.66749275972664	0.141483325489423	965039
996037	144	88251.76440691948	-6793.69	-7500.0	1807.4604746925334	-330.0	-7500.0	-99.4223172221682	0.05703907100330765	995037
