steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
30058	6	3761.0188846588135	-7485.53	-7500.0	82.69763044252284	-7012.0	-7500.0	-42.09167012462134	0.1312203053295432	29058
60432	11	5815.545855283737	-6760.2	-7500.0	1986.1681294351288	-187.0	-7500.0	-67.39620990651889	0.07429077109128727	59432
90117	18	8837.858659505844	-7491.2	-7500.0	62.14547936946505	-7022.0	-7500.0	-81.24751182712437	0.09186733673249284	89117
122724	25	10816.562712192535	-6032.67	-7500.0	2533.075832427502	-118.0	-7500.0	-91.11766690221432	0.10927726145221396	121724
156701	30	12907.369042634964	-7087.83	-7500.0	1637.1594459966816	-107.0	-7500.0	-95.04253002987511	0.1265659084303153	155701
186700	34	15939.344152212143	-7491.19	-7500.0	62.19742029143243	-7023.0	-7500.0	-95.11721476855932	0.13014488041954894	185700
216694	38	18034.560266971588	-7087.39	-7500.0	1643.9687989801394	-115.0	-7500.0	-97.29000653847622	0.06874203987068861	215694
246150	42	20798.374889612198	-7053.91	-7500.0	1708.1933518111225	-70.0	-7500.0	-97.15653898364073	0.06292057464143831	245150
276147	46	23559.386860132217	-7491.16	-7500.0	62.41369313627492	-7021.0	-7500.0	-97.6480911586355	0.050397964803151125	275147
300892	50	25927.955440998077	-5888.01	-7500.0	2682.5137182098133	-84.0	-7500.0	-99.0140853494673	0.04735733473852783	299892
330887	54	28152.647352695465	-7054.12	-7500.0	1707.4176986243751	-75.0	-7500.0	-99.60400697932818	0.035109454947480044	329887
361683	64	31058.949630737305	-7491.19	-7500.0	62.22177588223751	-7021.0	-7500.0	-99.63915086509297	0.007050356622831422	360683
396538	75	34072.85445070267	-7482.78	-7500.0	137.46210350125557	-6182.0	-7500.0	-100.93706641312018	0.022326752268078	395538
422537	80	35983.55649328232	-7088.4	-7500.0	1639.5767931408582	-98.0	-7500.0	-100.70213324678643	0.0010302881603272446	421537
452326	86	38524.33284378052	-5689.28	-7500.0	2747.537744632786	-269.0	-7500.0	-100.85258367649112	0.0017595120346080146	451326
483855	93	40886.42090296745	-5982.4	-7500.0	2629.119843505646	-91.0	-7500.0	-100.64719462736537	0.008559617846558759	482855
513761	99	43666.34963345528	-7491.15	-7500.0	62.47785466253082	-7021.0	-7500.0	-100.39517900682719	0.03250912819749076	512761
541688	105	46323.58593559265	-6731.04	-7500.0	2062.7213902360572	-105.0	-7500.0	-100.73082756564115	0.0009073175203891315	540688
572515	111	49005.71464419365	-6568.71	-7500.0	2365.2742224473122	-78.0	-7500.0	-100.30026336037714	0.00011134538977180103	571515
602340	118	52187.54049706459	-7482.8	-7500.0	137.60791908149542	-6179.0	-7500.0	-100.58774147781683	0.0006482678106486334	601340
634138	125	54624.24235010147	-5656.45	-7500.0	2652.7026674543063	-261.0	-7500.0	-100.35673335275183	0.005126253676089452	633138
660150	129	56950.434197187424	-5054.51	-7155.5	2889.309509959678	-208.0	-7500.0	-100.30752330904525	0.03752156808409597	659150
690148	133	58675.520114183426	-6150.5	-7500.0	2518.8917937630567	-124.0	-7500.0	-100.78088648089839	0.0007165698448141398	689148
720145	137	61078.234691143036	-6211.89	-7500.0	2452.9505255318686	-100.0	-7500.0	-100.47387927326108	0.0034793308942384026	719145
750140	141	63204.472028017044	-6537.97	-7500.0	2316.4672225244854	-103.0	-7500.0	-100.23775334059313	0.0017716506575730134	749140
780138	145	65587.8630926609	-7218.37	-7500.0	1323.2591739773247	-217.0	-7500.0	-100.38492354796448	0.006975703548259537	779138
811828	150	68216.76490163803	-6559.68	-7500.0	2347.554510420139	-89.0	-7500.0	-100.57007456296064	0.01054882439202527	810828
841822	154	71055.7788438797	-6999.35	-7500.0	1834.698314864233	-80.0	-7500.0	-100.12925891024933	0.02279414277530452	840822
876482	164	73656.29354763031	-5922.1	-7500.0	2455.432700660873	-347.0	-7500.0	-100.15564048901685	0.024689563458461693	875482
906664	174	76740.43438482285	-7491.15	-7500.0	62.47785466253082	-7021.0	-7500.0	-100.02123530313656	0.0012390859515387584	905664
937203	179	79363.47355270386	-7053.91	-7500.0	1708.1933518111225	-70.0	-7500.0	-99.68973460682437	0.0011463662926536583	936203
963851	186	81761.7272324562	-7034.89	-7500.0	1732.6556419659285	-80.0	-7500.0	-99.41993211494301	0.002750469096048457	962851
996346	192	83633.74853038788	-5961.99	-7500.0	2675.104364980057	-86.0	-7500.0	-99.85649434030877	0.00021020572471810506	995346
