steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
35953	5	2063.6957681179047	-5173.82	-7500.0	2810.364789507051	-335.0	-7500.0	-49.198606598775825	0.1532650401547192	34953
63186	9	3870.6737768650055	-5024.35	-6843.5	2892.014352951376	-167.0	-7500.0	-69.1714692130362	0.2179784933902651	62186
91315	13	5655.60702586174	-5158.99	-7500.0	2898.6960582791066	-244.0	-7500.0	-81.3997833539753	0.3546520506128241	90315
121309	17	7442.439581871033	-3870.71	-3210.5	2933.3257172593962	-135.0	-7500.0	-87.71938976240263	0.2261773177543445	120309
151305	21	9232.672530174255	-4027.39	-3284.5	2961.467646985429	-222.0	-7500.0	-93.41542955573053	0.2471555275262781	150305
184827	26	11361.467689275742	-5130.6	-7500.0	2941.103170340316	-171.0	-7500.0	-97.83685647669404	0.28315612281494856	183827
215865	31	13160.143451929092	-4320.83	-4061.5	3025.2334280250843	-186.0	-7500.0	-99.44006452203138	0.40515068165187185	214865
245862	35	14996.074897527695	-4117.49	-3636.5	2986.2391722429707	-260.0	-7500.0	-98.34330436247818	0.392467585993563	244862
272993	40	17134.448686122894	-5438.82	-7500.0	2749.9113424827265	-153.0	-7500.0	-97.77944611615122	0.4599889115419799	271993
302989	44	19028.149391412735	-3977.97	-2990.0	3025.7687910461177	-214.0	-7500.0	-99.10220593605891	0.3888491147415452	301989
332985	48	20895.504301071167	-3935.88	-3020.5	3013.683826760327	-207.0	-7500.0	-100.05778488064593	0.38155134899727383	331985
366626	53	22795.030410051346	-3944.46	-3299.0	3007.061968974455	-211.0	-7500.0	-99.56398005243241	0.3261365269997498	365626
390744	60	24578.80099773407	-3942.87	-3205.0	3020.1356001900567	-192.0	-7500.0	-99.02850070435323	0.24926630059364632	389744
421114	70	26720.91020655632	-5419.78	-7500.0	2851.1180744303515	-149.0	-7500.0	-100.1201910176951	0.3281587462199962	420114
451633	77	28477.613800287247	-4129.08	-3749.5	2993.344279118814	-211.0	-7500.0	-99.93298600133691	0.17921057675780572	450633
481815	84	30235.5952167511	-3910.64	-3480.0	2966.192715018069	-211.0	-7500.0	-99.76032981763188	0.30527419320948074	480815
512714	89	31999.554760932922	-4881.31	-6708.0	2937.3174998369664	-303.0	-7500.0	-99.97238346367146	0.25351728880046626	511714
543557	94	34114.97512626648	-5283.86	-7500.0	2833.2914008305256	-166.0	-7500.0	-98.62231264105304	0.3146622897290054	542557
572286	99	35831.602741241455	-3799.54	-3056.0	3006.6547316164383	-172.0	-7500.0	-99.16461547266324	0.17681161293026204	571286
602436	104	37924.75624370575	-6025.57	-7500.0	2475.5039207638456	-272.0	-7500.0	-99.85035110046319	0.19812986165047833	601436
630242	108	39517.84064364433	-4207.81	-3856.5	3005.972400845767	-242.0	-7500.0	-99.92273341036372	0.19191344856064466	629242
660237	112	41503.92435288429	-5282.59	-7500.0	2912.8224435721754	-212.0	-7500.0	-100.68996274811224	0.18190374650462665	659237
690236	116	43320.787412166595	-3858.27	-3193.5	3016.7759727560115	-198.0	-7500.0	-100.44868592822097	0.2815601937266665	689236
720232	120	45381.77151346207	-5168.96	-7500.0	2932.8881546483776	-138.0	-7500.0	-100.21894756724204	0.13446002151182843	719232
753438	125	47794.329964876175	-6320.03	-7500.0	2292.3068723603974	-175.0	-7500.0	-99.84539071889745	0.13315157994819218	752438
782378	130	49681.53766679764	-5044.71	-7426.5	2934.6812856567303	-222.0	-7500.0	-98.97990719018003	0.19801766249903147	781378
812375	134	51878.16852426529	-5272.42	-7500.0	2893.6871316293987	-73.0	-7500.0	-99.75336848750577	0.11315257836510675	811375
842372	138	54311.34832262993	-6290.69	-7500.0	2293.0081768037567	-170.0	-7500.0	-99.61337885529304	0.11081916378529835	841372
872613	143	56140.273289203644	-3758.59	-2826.5	2969.1849274223932	-198.0	-7500.0	-98.5588089028996	0.15747041505986692	871613
902610	147	58449.723954916	-5453.08	-7500.0	2887.3716672867913	-157.0	-7500.0	-99.18549797340701	0.1223038814543503	901610
934631	152	60970.70223903656	-6290.2	-7500.0	2382.9750610138876	-101.0	-7500.0	-100.22523581244488	0.14691005517044045	933631
961756	159	63220.0235850811	-5435.39	-7500.0	2783.6375442353783	-128.0	-7500.0	-100.02935436592897	0.1471331526697621	960756
991443	172	65460.41805624962	-5621.76	-7500.0	2815.691192462897	-79.0	-7500.0	-101.1485404826623	0.18598591593728925	990443
