steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
34294	5	1764.9032909870148	-4876.93	-6485.5	2922.3198348696756	-321.0	-7500.0	-47.4757019944499	0.18997196289775148	33294
61497	9	3431.5279002189636	-5038.98	-7500.0	2930.364723671334	-239.0	-7500.0	-68.62771599803567	0.21760407760684328	60497
95989	14	5576.886483192444	-5449.2	-7500.0	2800.527417859325	-80.0	-7500.0	-81.66433376681245	0.19623267184892235	94989
125984	18	7328.902218103409	-3972.83	-3142.5	3014.941023444486	-197.0	-7500.0	-89.78364772398415	0.45228378049894535	124984
151634	22	9034.609418869019	-3832.32	-3152.5	2959.0085047037446	-187.0	-7500.0	-94.41364112153668	0.22178373581262498	150634
185701	27	10767.586235046387	-3940.72	-3443.5	3027.365197993166	-115.0	-7500.0	-95.34210375748924	0.3645820360913586	184701
215381	31	12811.6478266716	-6174.06	-7500.0	2481.3943449910444	-122.0	-7500.0	-96.1926229502338	0.255516428552954	214381
245378	35	14797.03417134285	-6115.71	-7500.0	2399.205033722292	-378.0	-7500.0	-97.55684681587643	0.42181228555333944	244378
277183	41	16619.176768302917	-4700.83	-6063.0	2978.3005155133474	-319.0	-7500.0	-98.45623383164917	0.3367902463038772	276183
307180	45	18298.880914211273	-4745.41	-6044.5	2922.0295496089493	-277.0	-7500.0	-99.5634661827531	0.2681447778406361	306180
337176	49	20092.4876871109	-3924.54	-3047.5	3002.785045368194	-203.0	-7500.0	-99.84045365184163	0.21615299864351217	336176
363759	53	22229.313205957413	-6069.62	-7500.0	2432.071710216696	-278.0	-7500.0	-99.23544081983091	0.2801253925531639	362759
396148	66	23915.047293186188	-3816.78	-3255.5	2992.7900214895253	-140.0	-7500.0	-98.03080603114947	0.21775989096799656	395148
420087	73	25494.651250362396	-3919.22	-3281.5	2835.597849348938	-125.0	-7500.0	-100.71659759161578	0.24679896539938614	419087
453311	80	27129.343668460846	-4721.56	-5980.5	2974.0593702510005	-301.0	-7500.0	-100.92678247951892	0.14990102580091821	452311
484377	86	29331.40385556221	-6512.93	-7500.0	1988.0611450009847	-493.0	-7500.0	-101.20527930722409	0.24197436286368362	483377
514542	93	31612.992905139923	-6554.5	-7500.0	2131.9080442389886	-295.0	-7500.0	-99.76281253193247	0.16221914613601585	513542
546531	98	33395.91729235649	-3999.25	-3573.5	2991.3456124681284	-202.0	-7500.0	-99.81786435387806	0.17335149501719754	545531
573543	103	35124.66020011902	-3868.97	-2921.5	3005.0175967316177	-199.0	-7500.0	-100.29755605073741	0.1795205119428234	572543
603540	107	36690.37495303154	-4386.56	-4292.0	2915.1415036431126	-200.0	-7500.0	-99.96861446372338	0.16993763349344346	602540
636456	112	39011.43995428085	-6514.13	-7500.0	2031.0915443960598	-455.0	-7500.0	-98.81994887480879	0.17122272153390203	635456
666455	116	40702.04998040199	-4264.16	-4109.0	3012.063867486575	-243.0	-7500.0	-100.55473224957777	0.19573675979631747	665455
696451	120	42271.97336483002	-4492.82	-5054.0	2949.218983686592	-225.0	-7500.0	-99.7412294176477	0.08564881986810238	695451
725398	124	43999.863020420074	-3817.02	-2896.0	2949.734420437052	-200.0	-7500.0	-99.7110830039052	0.1394317938776723	724398
755394	128	46105.25559544563	-5771.03	-7500.0	2597.970678347921	-290.0	-7500.0	-100.16300822761781	0.13237522035218408	754394
786453	133	47953.612344026566	-4901.69	-6462.5	2899.4150844993237	-277.0	-7500.0	-100.30228831537255	0.12446786912767548	785453
816450	137	50118.764924526215	-5473.0	-7500.0	2787.5392428274495	-133.0	-7500.0	-99.92851692694855	0.10142965639601159	815450
846991	142	51814.340326070786	-4368.54	-4432.5	2996.1220876393545	-250.0	-7500.0	-99.28885986111261	0.13212086380865848	845991
876988	146	53843.81434631348	-5180.91	-7500.0	2940.2938563203425	-74.0	-7500.0	-99.37579294139225	0.13009418029498884	875988
901274	150	55662.43378305435	-4345.91	-4510.0	2954.364387006471	-212.0	-7500.0	-99.1102890768592	0.16174520931176434	900274
931268	154	57432.97756886482	-3797.54	-2829.0	2967.405758870495	-193.0	-7500.0	-99.19821071861364	0.14159019786956617	930268
961855	166	59708.583445072174	-6417.34	-7500.0	2208.031108970573	-348.0	-7500.0	-99.24028995057736	0.0654838106198216	960855
994602	174	61729.19362330437	-5159.31	-7500.0	2992.0331174063845	-83.0	-7500.0	-99.28663263382438	0.07106434789338055	993602
