steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
35341	5	1834.1336543560028	-3940.8	-3149.0	2989.6450720053135	-158.0	-7500.0	-48.92969490945965	0.11857332558096367	34341
62641	9	3522.0337262153625	-4036.17	-3351.5	3015.068714747056	-206.0	-7500.0	-69.73695951566522	0.16777531135859078	61641
90992	13	5659.161206245422	-5446.12	-7500.0	2766.4543265722104	-172.0	-7500.0	-83.74204177732216	0.31882684935316397	89992
120986	17	7401.734871864319	-4282.98	-4291.0	2970.1957864250244	-230.0	-7500.0	-91.26686626235	0.2656554169856311	119986
154052	22	9368.345357894897	-4830.35	-7467.0	3031.1073896475127	-265.0	-7500.0	-95.03502807481262	0.2840580467179465	153052
184046	26	11683.958899021149	-6377.82	-7500.0	2261.254502896277	-156.0	-7500.0	-96.19352912196388	0.31329015623129686	183046
214044	30	13823.469730615616	-5361.66	-7500.0	2826.8387927152835	-96.0	-7500.0	-97.06796819110677	0.21807173055519985	213044
244043	34	15662.735581874847	-3920.49	-2983.0	3020.8951529557453	-203.0	-7500.0	-96.69874632657276	0.4492866993283264	243043
274037	38	17400.317101478577	-4692.66	-5673.0	2965.894796488639	-109.0	-7500.0	-98.88794641182714	0.23623799709986928	273037
304349	43	19316.046068668365	-4148.13	-3574.0	3038.158771411236	-207.0	-7500.0	-100.21447140809386	0.2638318081428888	303349
334346	47	21188.15435242653	-3950.17	-2992.0	3028.594210190596	-175.0	-7500.0	-100.92019691792521	0.33625199555508817	333346
365842	52	23144.879101276398	-4504.73	-5076.0	2995.1954215430287	-203.0	-7500.0	-101.4167903555594	0.25054157103452496	364842
392769	56	25435.341103315353	-6502.87	-7500.0	2063.092959293611	-419.0	-7500.0	-100.14999907665785	0.30698949914758644	391769
422053	67	27286.727293252945	-5065.82	-7500.0	2922.4088285543007	-179.0	-7500.0	-100.87841137753445	0.2619701645147381	421053
456815	77	29046.940369844437	-4790.43	-7500.0	3056.0368283220355	-159.0	-7500.0	-99.48490207558297	0.24367811930873629	455815
480408	81	30781.237163066864	-3879.16	-3256.5	3011.5606636272614	-156.0	-7500.0	-98.68342695433726	0.2683504699042542	479408
514897	92	32650.61377644539	-4095.59	-3903.5	3023.1417268975483	-161.0	-7500.0	-99.08823261013394	0.1660248555914808	513897
545234	97	34844.59417319298	-6134.08	-7500.0	2360.525962962107	-135.0	-7500.0	-100.79206245801663	0.3572393798647281	544234
575600	102	36463.025565862656	-4510.88	-5361.5	2908.4490617940182	-222.0	-7500.0	-100.23209895558598	0.20883436915930118	574600
603408	106	38425.796078681946	-5904.68	-7500.0	2489.352363466239	-319.0	-7500.0	-99.59055379171927	0.18743291992011055	602408
633402	110	40174.899398088455	-5469.28	-7500.0	2726.861351425662	-258.0	-7500.0	-99.78581543640304	0.22445216883733435	632402
662752	115	42375.532797813416	-5353.0	-7500.0	2791.2919929486043	-103.0	-7500.0	-100.24323812959898	0.15317734636313188	661752
692748	119	44228.47939372063	-3931.23	-2987.5	3036.174905646374	-200.0	-7500.0	-101.15861701482255	0.19632674716593262	691748
725976	124	46496.48732280731	-5438.07	-7500.0	2806.3517503273993	-178.0	-7500.0	-100.90036722267352	0.13965526707815668	724976
755972	128	48359.61513495445	-4020.5	-3579.5	2954.855068315107	-189.0	-7500.0	-100.11073756381892	0.207658923977376	754972
785968	132	50158.27536082268	-3877.34	-2986.0	2953.7546358641384	-182.0	-7500.0	-100.60982139664176	0.1610202703176773	784968
815966	136	51967.16663980484	-3832.88	-3327.5	2985.480267879691	-164.0	-7500.0	-100.51987917594596	0.08787101694236937	814966
846412	141	54270.49310564995	-5570.08	-7500.0	2641.033084062203	-92.0	-7500.0	-100.95492714434228	0.10100942462208536	845412
876410	145	56165.74057292938	-3937.58	-3102.0	3021.9641655350215	-180.0	-7500.0	-100.62372046297537	0.1348877568523952	875410
906405	149	58290.8052418232	-5161.84	-7500.0	2940.725718580227	-96.0	-7500.0	-100.95300518862216	0.09189377936638123	905405
933723	153	60101.80947494507	-3860.53	-3115.0	2959.447342807181	-186.0	-7500.0	-100.2942559632659	0.06776243207352116	932723
960713	165	61781.55616426468	-3967.79	-3321.0	2928.9241872825055	-179.0	-7500.0	-99.58566513412164	0.19881934598150935	959713
992015	172	64140.272564172745	-6272.2	-7500.0	2307.0457124192226	-334.0	-7500.0	-99.98623022291862	0.12149902275316994	991015
