steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
32644	5	2328.4591653347015	-4349.24	-5454.5	3139.498609264823	-121.0	-7500.0	-46.46172967654897	0.2047131260246454	31644
63371	11	5413.082449436188	-7056.2	-7500.0	1701.1912938237776	-110.0	-7500.0	-68.98572921050153	0.08630130321540855	62371
92261	18	8791.954910755157	-7424.72	-7500.0	666.90854824119	-851.0	-7500.0	-82.50090708970936	0.07796165499820426	91261
124801	25	11827.038697004318	-7098.89	-7500.0	1616.6104825913517	-78.0	-7500.0	-90.36896229122532	0.10331875816494009	123801
153104	29	14288.68603515625	-7086.43	-7500.0	1647.0075236407674	-94.0	-7500.0	-94.51060431731264	0.11804894372933125	152104
183104	33	16931.560227155685	-6542.03	-7500.0	2370.9550922773633	-106.0	-7500.0	-96.66414756517727	0.11829076246104271	182104
213099	37	19738.121529340744	-6659.32	-7500.0	2243.8310847676785	-111.0	-7500.0	-96.31655190168414	0.09843307906795136	212099
243095	41	22811.209916830063	-7066.13	-7500.0	1632.1349199961096	-139.0	-7500.0	-97.40120423124041	0.2424245801816297	242095
273092	45	25302.552778959274	-5963.12	-7500.0	2674.042244402374	-79.0	-7500.0	-98.4050779397576	0.09566897831915513	272092
305326	50	28677.827098608017	-7491.17	-7500.0	62.34962596989543	-7021.0	-7500.0	-99.26467587708834	0.09739011614746572	304326
335321	54	31623.02782535553	-7054.01	-7500.0	1707.8265382489742	-72.0	-7500.0	-99.79335397101866	0.08966184178388428	334321
365110	64	34721.810252428055	-6508.61	-7500.0	2283.474191165114	-115.0	-7500.0	-98.91265369549349	0.05904857894807566	364110
397129	75	37120.72065091133	-5985.46	-7500.0	2645.3162932460705	-103.0	-7500.0	-99.67442164705476	0.03408518698790043	396129
420079	79	40413.825011491776	-7491.17	-7500.0	62.34962596989543	-7021.0	-7500.0	-99.88631833691842	0.039714231358952815	419079
456016	87	42905.59471344948	-5949.87	-7500.0	2650.835155820394	-87.0	-7500.0	-100.24562149032089	0.01072417951747164	455016
483050	93	45795.96744322777	-7054.08	-7500.0	1707.617500756211	-72.0	-7500.0	-99.33262511659048	0.010320374519764476	482050
514813	99	48841.802656412125	-7086.42	-7500.0	1601.651680187195	-152.0	-7500.0	-99.3993328877353	0.00025799900328755845	513813
542557	105	50879.84935426712	-4294.71	-5360.0	3147.401356498546	-144.0	-7500.0	-99.48576490696261	0.006019674157097169	541557
573252	111	53264.52784848213	-6101.85	-7500.0	2563.618490562025	-102.0	-7500.0	-99.97923120252885	0.006330765181605473	572252
602433	118	55808.85163593292	-6626.57	-7500.0	2232.11342646064	-133.0	-7500.0	-100.0108745072922	0.022942249666144644	601433
631889	125	58818.70679759979	-7085.73	-7500.0	1603.242364048177	-139.0	-7500.0	-100.25649007853625	0.025980905019603488	630889
667017	130	61899.23832964897	-7011.4	-7500.0	1749.3925179382074	-70.0	-7500.0	-99.97330327716476	0.012089343537186645	666017
697014	134	64865.8505218029	-6670.09	-7500.0	2153.1780274935018	-106.0	-7500.0	-100.08903331744762	0.0057816486228637895	696014
727011	138	67600.92814350128	-6595.08	-7500.0	2293.98649824741	-101.0	-7500.0	-100.2145869710407	0.0015847883105379905	726011
757007	142	70583.87530779839	-7054.3	-7500.0	1706.672777569552	-75.0	-7500.0	-100.12934850343578	0.003176521065965021	756007
787004	146	73059.53310775757	-5905.49	-7500.0	2699.8443520231895	-97.0	-7500.0	-100.03306331871381	0.0007170033137650652	786004
811336	150	75988.23300337791	-7054.18	-7500.0	1707.2854251203232	-73.0	-7500.0	-100.06320986728859	0.019800972705330443	810336
841330	154	79335.1222140789	-7491.16	-7500.0	62.41369313627492	-7021.0	-7500.0	-100.21677666278777	0.0193571543391419	840330
871410	164	81612.09585571289	-4487.93	-4557.0	3050.217091975884	-106.0	-7500.0	-100.5174437355621	0.0003873100074395698	870410
905153	175	84582.23865246773	-7053.98	-7500.0	1707.9480332973965	-71.0	-7500.0	-100.19775075959618	0.009493566501423073	904153
934788	181	87607.16164422035	-7053.91	-7500.0	1708.1933518111225	-70.0	-7500.0	-100.09407357365404	0.00024367856150641091	933788
960887	186	90716.41749668121	-7128.43	-7500.0	1555.3151439726635	-152.0	-7500.0	-100.17687021553769	0.0010525393828684252	959887
990131	191	93276.5853228569	-7083.93	-7500.0	1656.6818867357679	-108.0	-7500.0	-100.19293288284425	0.00020378732360986897	989131
