steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
36727	5	2115.5531334877014	-5917.12	-7500.0	2564.7524514014403	-310.0	-7500.0	-51.14999667798585	0.1960632808131653	35727
63657	9	3827.795700073242	-4638.66	-5330.0	2948.6439143676494	-165.0	-7500.0	-70.5644625426203	0.25218666453354327	62657
93651	13	5934.725574493408	-5505.72	-7500.0	2695.9415816588407	-139.0	-7500.0	-82.37360157410768	0.36388148783095087	92651
123645	17	7565.388519287109	-4962.87	-7431.0	2918.2765865240644	-223.0	-7500.0	-90.06643224628546	0.3039434308765847	122645
156438	22	9580.53931093216	-5246.95	-7500.0	2911.0384393639574	-190.0	-7500.0	-93.97917791708808	0.36621827834196075	155438
182138	26	11712.306061983109	-5259.59	-7500.0	2898.414328228593	-236.0	-7500.0	-95.02994387856994	0.41846314801212925	181138
211876	30	13640.777372598648	-6131.16	-7500.0	2285.743133230659	-489.0	-7500.0	-95.68616966186062	0.35454670667572	210876
241875	34	15317.858397245407	-3873.94	-2915.0	3016.56103555226	-194.0	-7500.0	-95.91759695322965	0.6809387899642682	240875
270165	39	17091.773355722427	-3892.56	-2998.5	3019.600095002213	-203.0	-7500.0	-96.94532480851677	0.28637121063185844	269165
300162	43	19253.039072990417	-5387.56	-7500.0	2829.424909693834	-142.0	-7500.0	-99.20581402232212	0.30442040601285747	299162
330159	47	21471.320902585983	-6527.36	-7500.0	2063.5113328029147	-638.0	-7500.0	-98.89042891366898	0.3430789602594618	329159
362183	52	23336.57746195793	-4047.35	-3338.0	3003.1147412294954	-222.0	-7500.0	-99.59010577566403	0.26896478207842905	361183
391087	61	25606.905509471893	-6204.15	-7500.0	2306.8997358823685	-200.0	-7500.0	-100.07665946952554	0.29000458534799506	390087
423775	70	27355.793613433838	-3940.99	-3241.0	3009.6683346753466	-214.0	-7500.0	-99.49509152646121	0.22665542025961094	422775
454564	78	29281.5840280056	-5957.98	-7500.0	2464.115843154467	-449.0	-7500.0	-98.58570671107277	0.14669591327247322	453564
480382	83	31001.312606811523	-3881.46	-3087.0	2992.240643579809	-204.0	-7500.0	-99.06670184384072	0.19314865865329078	479382
517104	89	33127.58059167862	-6220.3	-7500.0	2239.7988613699085	-402.0	-7500.0	-99.27158723734122	0.2102395208259991	516104
540683	93	34786.041055202484	-3840.86	-3454.0	2977.0355875086425	-197.0	-7500.0	-98.8530012584513	0.39531794082808086	539683
575228	98	36760.574392557144	-5793.76	-7500.0	2613.993914346861	-132.0	-7500.0	-99.40025854073721	0.2605692183487662	574228
605268	103	38996.104744911194	-6171.62	-7500.0	2369.319391596232	-302.0	-7500.0	-98.89986715259454	0.21934956251897977	604268
635265	107	41171.623200416565	-5519.95	-7500.0	2815.883015874578	-141.0	-7500.0	-99.35645127636074	0.13176955283336306	634265
665259	111	43313.80001974106	-6452.68	-7500.0	2067.7461446676375	-422.0	-7500.0	-100.30327649495965	0.19368454363842186	664259
695257	115	45049.06641244888	-4299.67	-4230.0	3019.7762745915234	-267.0	-7500.0	-100.72112144370821	0.13287640869273395	694257
725253	119	46877.83341526985	-3903.14	-3243.5	2998.703962539399	-195.0	-7500.0	-100.1272933947314	0.20860912482910043	724253
755249	123	48688.56440758705	-3893.6	-2982.0	3021.0715304208197	-200.0	-7500.0	-99.24711296300194	0.11892253325567732	754249
784798	127	50395.38491940498	-3888.73	-3363.0	2883.763204441885	-198.0	-7500.0	-99.0909083709191	0.08410889782162037	783798
812115	131	52292.17295742035	-4813.35	-6517.5	2960.4996929265476	-117.0	-7500.0	-99.11541117753737	0.1259706949426502	811115
842112	135	54676.40312075615	-6384.36	-7500.0	2187.403661463018	-162.0	-7500.0	-99.05646895744711	0.06853222400210159	841112
872600	140	56931.41779208183	-5473.95	-7500.0	2727.4813274180524	-158.0	-7500.0	-99.4747088684731	0.13750646714615114	871600
902598	144	59018.12675523758	-5681.05	-7500.0	2703.2389527858218	-280.0	-7500.0	-99.6287111808864	0.10524198472451508	901598
932594	148	61449.55599665642	-6357.52	-7500.0	2226.408688013188	-429.0	-7500.0	-99.76123650019018	0.10407055285806203	931594
963134	153	63302.64291501045	-3790.44	-2908.5	2942.545971491938	-199.0	-7500.0	-99.53780157961376	0.14023241838537473	962134
991895	162	65407.80518960953	-6025.7	-7500.0	2465.14486840474	-399.0	-7500.0	-99.59231228559443	0.1669473436672052	990895
