steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
37495	5	2845.235260248184	-6600.52	-7500.0	2062.5127632540502	-223.0	-7500.0	-19.894832040772542	2.599508602498954	36495
65356	9	5522.951416492462	-6711.0	-7500.0	1962.713088219128	-343.0	-7500.0	-45.636708380214614	2.8027353775882107	64356
95350	13	8055.014294862747	-6708.05	-7500.0	1926.2316032590525	-420.0	-7500.0	-74.19828508253867	2.249243392255737	94350
125344	17	10627.542857408524	-6692.86	-7500.0	1956.2629340328224	-258.0	-7500.0	-75.5312152755873	3.2039408246676016	124344
150365	22	13657.924674749374	-6694.73	-7500.0	1967.9915868619958	-404.0	-7500.0	-87.36552469231856	1.484392127189005	149365
180359	26	16362.255394220352	-6615.4	-7500.0	2045.2005557234022	-217.0	-7500.0	-92.83617775628944	2.262603022983342	179359
210357	30	19265.13757300377	-6561.24	-7500.0	2087.8275796684557	-258.0	-7500.0	-93.03286930131253	1.8497360037813675	209357
240356	34	22212.59032726288	-6745.88	-7500.0	1897.686886925259	-294.0	-7500.0	-95.18559977669507	1.8311786988249117	239356
270350	38	25057.975590467453	-6642.61	-7500.0	2014.9836548200383	-311.0	-7500.0	-93.38064231493475	1.0403003202337853	269350
300346	42	27050.517462968826	-6696.63	-7500.0	1892.4393571005203	-279.0	-7500.0	-94.23577376590602	0.7625967140017225	299346
331422	47	29580.62461066246	-6871.41	-7500.0	1705.1627434697168	-374.0	-7500.0	-98.2954503964786	0.6126033380726043	330422
364135	52	32632.091378450394	-6810.21	-7500.0	1792.835789350424	-431.0	-7500.0	-97.68840235748367	1.1189113289572106	363135
392336	56	35973.765627622604	-6748.23	-7500.0	1940.3795778562544	-322.0	-7500.0	-96.27413193687069	0.8350675381736186	391336
422329	60	39279.2301337719	-6764.39	-7500.0	1865.7207770941525	-369.0	-7500.0	-91.7917728400003	0.9023745649944154	421329
457412	65	42168.33013534546	-6652.53	-7500.0	1988.5017630661462	-418.0	-7500.0	-97.18190034183053	0.9985321091986581	456412
483652	70	45352.75965499878	-6737.3	-7500.0	1922.6065298669066	-364.0	-7500.0	-96.01324585013597	0.7558170610089066	482652
513646	74	48015.100266218185	-6830.8	-7500.0	1751.4337849402996	-411.0	-7500.0	-97.54195875253855	0.31756619139568426	512646
545353	79	50655.47719669342	-6531.62	-7500.0	2121.778069773966	-231.0	-7500.0	-97.79427175151	0.30281961547949743	544353
575647	84	52728.55003333092	-6799.85	-7500.0	1802.8940336205692	-317.0	-7500.0	-99.23300018073994	0.3774286854415786	574647
605644	88	55867.78622794151	-6756.01	-7500.0	1879.383772286904	-370.0	-7500.0	-99.12457647089064	0.47808155646879913	604644
635639	92	58466.753219127655	-6530.57	-7500.0	2122.9687725428084	-221.0	-7500.0	-100.27032757194415	0.2560649582281189	634639
660407	96	61004.43323421478	-6531.22	-7500.0	2122.3201263682818	-221.0	-7500.0	-99.96617818896189	0.8615650001691898	659407
690403	100	64274.965666770935	-6775.45	-7500.0	1906.8345993803289	-322.0	-7500.0	-99.59360938091002	0.5671461598008366	689403
720399	104	66340.38949203491	-6764.32	-7500.0	1851.8884758183165	-315.0	-7500.0	-99.84305063321798	0.5308665120148401	719399
754750	109	69303.23349618912	-6673.34	-7500.0	2008.638682784885	-434.0	-7500.0	-98.87159363635534	0.6057153628698538	753750
784746	113	71913.65098071098	-6531.34	-7500.0	2121.4296933526653	-225.0	-7500.0	-98.46529758011253	0.7051121911490176	783746
814743	117	74760.57774233818	-6545.39	-7500.0	2107.3191686801665	-228.0	-7500.0	-98.40092999158253	0.49110203236964706	813743
846974	123	77735.11280703545	-6512.16	-7500.0	2156.3406044556696	-220.0	-7500.0	-98.8103764829017	0.7541887718642224	845974
876971	127	80365.18686461449	-6529.79	-7500.0	2123.822612839425	-221.0	-7500.0	-98.9441356679026	0.4890158538030536	875971
906966	131	83045.62999892235	-6529.77	-7500.0	2123.8646823632384	-221.0	-7500.0	-99.58678799601083	0.16584278626172969	905966
936963	135	85702.13170933723	-6531.22	-7500.0	2121.6707661651935	-222.0	-7500.0	-98.78518025240236	0.18553958602914955	935963
966959	139	87894.70235729218	-6847.2	-7500.0	1748.455999972085	-319.0	-7500.0	-99.12097597377272	0.1504745650803133	965959
996128	143	90916.19871330261	-6581.75	-7500.0	2125.5427845112595	-446.0	-7500.0	-98.9179545212057	0.04297143390774768	995128
